"id","price"
"0039859686161393","R$ 149.99"
"4740199566123187","R$ 179.99"
"6371007592320253","R$ 439.99"
"6658610808873559","R$ 139.99"
"0896480763717814","R$ 89.99"
"0497886471467050","R$ 209.99"
"6679714919192692","R$ 99.99"
"8155098024721037","R$ 79.99"
"8941627859158224","R$ 59.99"
"4563106171422678","R$ 169.99"
"1345407979363786","R$ 129.99"
"9920041361600294","R$ 309.99"
"8065235063239012","R$ 299.99"
"7802340384117610","R$ 149.99"
"1574909183923711","R$ 199.99"
"2195406879398272","R$ 99.99"
"6240540821272287","R$ 219.99"
"4020517437832060","R$ 489.99"
"1365458319167786","R$ 59.99"
"3449613747531694","R$ 69.99"
"1090646092249694","R$ 109.99"
"2684169412662200","R$ 169.99"
"8870614091969404","R$ 89.99"
"3711969371524400","R$ 239.99"
"9645158966710464","R$ 329.99"
"2274859106524322","R$ 119.99"
"3658298903247305","R$ 209.99"
"9575266027787306","R$ 149.99"
"5988356732133055","R$ 149.99"
"8939864918204502","R$ 89.99"
"0262789922314726","R$ 109.99"
"9927476651701418","R$ 159.99"
"6689484135778185","R$ 169.99"
"3116981565382276","R$ 99.99"
"8804227464824572","R$ 99.99"
"8718780334763182","R$ 189.99"
"0754773728900314","R$ 209.99"
"1440997331174750","R$ 279.99"
"6799860286168205","R$ 419.99"
"9596693538127141","R$ 299.99"
"5279577112603889","R$ 159.99"
"3795571342602327","R$ 89.99"
"3938677720632814","R$ 379.99"
"8776555594991375","R$ 1429.99"
"2581865797464526","R$ 89.99"
"0583640773589518","R$ 99.99"
"5017762388432295","R$ 179.99"
"5199936131599111","R$ 109.99"
"7032148535853734","R$ 139.99"
"4539627375451541","R$ 239.99"
"6457932521038144","R$ 199.99"
"0397797921370100","R$ 309.99"
"0877349839976211","R$ 59.99"
"6350748800120974","R$ 99.99"
"7111404548222954","R$ 279.99"
"4265825210311690","R$ 59.99"
"0234892529185539","R$ 199.99"
"1267372581846595","R$ 319.99"
"1797839864433941","R$ 209.99"
"0970951472620752","R$ 1429.99"
"9457839683773402","R$ 59.99"
"6912785634092450","R$ 189.99"
"5227256908545764","R$ 169.99"
"2308949157933578","R$ 109.99"
"2143558227614815","R$ 129.99"
"5918250461712030","R$ 399.99"
"8071060213094964","R$ 129.99"
"1916450146970858","R$ 109.99"
"0314939789614138","R$ 229.99"
"2452636856482271","R$ 329.99"
"6643184092284957","R$ 169.99"
"8512730583539416","R$ 79.99"
"1208442418259466","R$ 479.99"
"9964536343920247","R$ 109.99"
"1772593186056764","R$ 259.99"
"5945085793499145","R$ 99.99"
"4843149704743887","R$ 399.99"
"3438688370488434","R$ 59.99"
"5911346785259659","R$ 149.99"
"7593529748415778","R$ 119.99"
"5225980253756707","R$ 119.99"
"4512416133764900","R$ 159.99"
"0804030136918833","R$ 89.99"
"9909039362480852","R$ 69.99"
"3837486874839830","R$ 129.99"
"4673260981274285","R$ 239.99"
"8930493245405754","R$ 79.99"
"2177906499996296","R$ 189.99"
"6503075994624202","R$ 119.99"
"3121854650337271","R$ 159.99"
"6340845892435682","R$ 179.99"
"0237988034058482","R$ 199.99"
"4709105222844806","R$ 99.99"
"4053593630412645","R$ 1479.99"
"9707678532721889","R$ 289.99"
"5451664695003951","R$ 169.99"
"3478619110401280","R$ 159.99"
"8142217799935546","R$ 69.99"
"0681278228511961","R$ 929.99"
"6931687693237197","R$ 269.99"
"0855035573869336","R$ 119.99"
"6191255034980325","R$ 59.99"
"8270825043746320","R$ 139.99"
"3772467709276316","R$ 69.99"
"7590178015292779","R$ 89.99"
"6619694009444656","R$ 189.99"
"1267242931298470","R$ 419.99"
"2660610281287466","R$ 139.99"
"3068876601317358","R$ 69.99"
"8257253995382437","R$ 89.99"
"6054112545856380","R$ 129.99"
"9503452550336888","R$ 119.99"
"6792781222818836","R$ 89.99"
"3544381458303930","R$ 689.99"
"6790646018135074","R$ 279.99"
"9284169487232506","R$ 129.99"
"5662668090431654","R$ 149.99"
"6391509326056116","R$ 69.99"
"3420239177152313","R$ 199.99"
"2885214730244087","R$ 269.99"
"2512378104445372","R$ 89.99"
"1021738475018750","R$ 199.99"
"9366416782786016","R$ 139.99"
"5229058740628488","R$ 119.99"
"6881381826284991","R$ 769.99"
"4866658603621591","R$ 209.99"
"8300893274317710","R$ 199.99"
"9467201552203656","R$ 119.99"
"7337120410496102","R$ 169.99"
"6317069857434335","R$ 139.99"
"4438552223879977","R$ 49.99"
"4474486493914756","R$ 99.99"
"6223631298961580","R$ 109.99"
"3589475383414557","R$ 69.99"
"5381867289867087","R$ 129.99"
"5448354553019902","R$ 59.99"
"1885370116340949","R$ 529.99"
"7134763301724424","R$ 89.99"
"3694795369343420","R$ 69.99"
"7323182249728302","R$ 79.99"
"8955250640218580","R$ 119.99"
"6387583369309097","R$ 99.99"
"4717051541233592","R$ 79.99"
"2412219562629374","R$ 109.99"
"9358397781985844","R$ 89.99"
"4375922657491268","R$ 149.99"
"5652770779519338","R$ 499.99"
"7549608140515396","R$ 99.99"
"8850482773235169","R$ 149.99"
"2702369933507900","R$ 169.99"
"9296115724759286","R$ 129.99"
"1775580960099068","R$ 429.99"
"8734786140028421","R$ 229.99"
"0228937618855763","R$ 69.99"
"5214596594459359","R$ 79.99"
"4108839226350294","R$ 299.99"
"8782584960565475","R$ 79.99"
"1786777608480707","R$ 59.99"
"9015511265038908","R$ 419.99"
"2680814348861654","R$ 329.99"
"1984619013044318","R$ 99.99"
"3231431538742764","R$ 159.99"
"9319059156231240","R$ 199.99"
"6673129652159681","R$ 99.99"
"7494455619890305","R$ 99.99"
"3660116033512028","R$ 139.99"
"9002288100749473","R$ 759.99"
"0172284967034977","R$ 69.99"
"1470548180093171","R$ 209.99"
"2134972719472726","R$ 259.99"
"0457929266063035","R$ 119.99"
"2183140249388338","R$ 119.99"
"1293258104729723","R$ 109.99"
"0810957204401521","R$ 119.99"
"3911904682930689","R$ 249.99"
"7740182761060808","R$ 59.99"
"6312782922431405","R$ 329.99"
"5779746043587273","R$ 229.99"
"4613774816006295","R$ 309.99"
"9791612371471722","R$ 99.99"
"8899761455376820","R$ 69.99"
"9664947028821901","R$ 379.99"
"4933328480076659","R$ 79.99"
"9688766258459001","R$ 199.99"
"3918034423180587","R$ 209.99"
"3272292009369749","R$ 169.99"
"0211865391538263","R$ 109.99"
"6049494647670312","R$ 79.99"
"1955216310033852","R$ 189.99"
"2405277294451849","R$ 369.99"
"7301653779473941","R$ 149.99"
"1235306195909567","R$ 129.99"
"8842032815507943","R$ 89.99"
"2311438528775720","R$ 129.99"
"7648234211085361","R$ 199.99"
"7169271876251089","R$ 259.99"
"6761851506135216","R$ 179.99"
"4101395401076219","R$ 139.99"
"1975991665930843","R$ 189.99"
"6584992408928248","R$ 149.99"
"5121024241918618","R$ 109.99"
"7200822679855347","R$ 119.99"
"0748244308724563","R$ 109.99"
"0613149188324399","R$ 719.99"
"6898407293771350","R$ 89.99"
"5298925034735100","R$ 99.99"
"6026418062920068","R$ 329.99"
"4875411531991839","R$ 249.99"
"3412802516691131","R$ 189.99"
"1800405244732975","R$ 409.99"
"9261660767752631","R$ 369.99"
"3307441119292225","R$ 669.99"
"2101172250181234","R$ 199.99"
"1941746962636229","R$ 139.99"
"1924884832667185","R$ 79.99"
"5040889622262866","R$ 249.99"
"3870926113784043","R$ 169.99"
"8436372257721438","R$ 1159.99"
"0626712302636037","R$ 209.99"
"7615005824881804","R$ 179.99"
"0547828707534199","R$ 219.99"
"3580302645223212","R$ 399.99"
"5007541629354099","R$ 349.99"
"7574033224638652","R$ 129.99"
"9133905511901688","R$ 69.99"
"1067569335029831","R$ 209.99"
"5995194052274193","R$ 69.99"
"6315746714157529","R$ 109.99"
"6755960655822787","R$ 179.99"
"1999583433860536","R$ 499.99"
"9295309822142061","R$ 439.99"
"7664197588521357","R$ 4129.99"
"6747598017804951","R$ 109.99"
"5643661605122418","R$ 79.99"
"3301711276541544","R$ 239.99"
"0553585212832105","R$ 189.99"
"5588491755853997","R$ 149.99"
"1999851042766352","R$ 1769.99"
"4535005801260780","R$ 179.99"
"6780815604110493","R$ 119.99"
"5482432179818638","R$ 169.99"
"1696840359713552","R$ 129.99"
"5109578638981932","R$ 259.99"
"0102135394207412","R$ 209.99"
"3909408962167761","R$ 109.99"
"9542132714578769","R$ 79.99"
"9916519374526191","R$ 69.99"
"5761826328086493","R$ 139.99"
"0323947684725883","R$ 159.99"
"2001899218215879","R$ 69.99"
"1101119566003569","R$ 99.99"
"3002724707188557","R$ 79.99"
"9624346972071045","R$ 229.99"
"9733464357903887","R$ 809.99"
"1268466863290041","R$ 119.99"
"3792876207518219","R$ 129.99"
"5114157729294748","R$ 89.99"
"3565153114109975","R$ 189.99"
"4487606654307714","R$ 229.99"
"4993614990003001","R$ 149.99"
"6620585857634144","R$ 229.99"
"0199867064868520","R$ 129.99"
"9609298322307408","R$ 59.99"
"5792097299942521","R$ 119.99"
"8373412910238644","R$ 79.99"
"5278570492417088","R$ 459.99"
"9163712218797107","R$ 549.99"
"5515785093875383","R$ 89.99"
"9073062796147301","R$ 69.99"
"1589227916848040","R$ 79.99"
"5564561661312836","R$ 519.99"
"1527796185738106","R$ 409.99"
"1028087575270619","R$ 79.99"
"1071623753930409","R$ 99.99"
"2079588263118212","R$ 69.99"
"5712541721230744","R$ 189.99"
"4107381673696980","R$ 79.99"
"8291189246008998","R$ 449.99"
"0081727343548934","R$ 729.99"
"9761817108580245","R$ 339.99"
"4889241588425949","R$ 109.99"
"3536181234209506","R$ 129.99"
"2937855841519598","R$ 119.99"
"7638342629719858","R$ 3139.99"
"1676102637133715","R$ 129.99"
"2758089060860639","R$ 439.99"
"4769985644559332","R$ 109.99"
"2650673121065190","R$ 179.99"
"0617314597704355","R$ 99.99"
"3911472206141913","R$ 219.99"
"7564739347138884","R$ 89.99"
"8749111628201347","R$ 179.99"
"6913829930328730","R$ 269.99"
"7599524239604450","R$ 169.99"
"7521721652605029","R$ 109.99"
"6508084032033824","R$ 139.99"
"5397463401287045","R$ 3199.99"
"8926701776862779","R$ 439.99"
"4705719357374914","R$ 69.99"
"4035376981421174","R$ 189.99"
"6148652745307106","R$ 149.99"
"0353198908309930","R$ 169.99"
"6945069934031333","R$ 179.99"
"9803632253731608","R$ 59.99"
"3770193630264070","R$ 119.99"
"9249991950405021","R$ 89.99"
"7931145311786597","R$ 119.99"
"5853222027118135","R$ 329.99"
"9722183585968759","R$ 149.99"
"4871344650664406","R$ 89.99"
"3229197887652867","R$ 189.99"
"3934218881241923","R$ 99.99"
"1129199953779459","R$ 69.99"
"2564661523913679","R$ 159.99"
"4604343348364415","R$ 459.99"
"9337821764175471","R$ 149.99"
"6538147345116099","R$ 309.99"
"0538256885273387","R$ 199.99"
"3441831461922446","R$ 3109.99"
"9179113086250075","R$ 89.99"
"6274773889866706","R$ 859.99"
"0406081205187929","R$ 69.99"
"2305358498576584","R$ 169.99"
"1985372140241398","R$ 279.99"
"3988982655688944","R$ 79.99"
"2835637910397565","R$ 99.99"
"7444028879126958","R$ 189.99"
"9211874041287965","R$ 69.99"
"7694693641236181","R$ 129.99"
"1131197997367190","R$ 349.99"
"2977463907186157","R$ 169.99"
"3398743264000477","R$ 109.99"
"3990896556238598","R$ 99.99"
"7473131263632912","R$ 119.99"
"7058739096196176","R$ 119.99"
"0761056713720457","R$ 109.99"
"3155834140369589","R$ 69.99"
"5843282595896476","R$ 239.99"
"5455802418546406","R$ 179.99"
"1487561870084642","R$ 709.99"
"7210303046391776","R$ 299.99"
"8696395736373742","R$ 199.99"
"5498861872864945","R$ 389.99"
"6733493701386202","R$ 89.99"
"8143740379351393","R$ 169.99"
"0258029753962370","R$ 119.99"
"6222114075504971","R$ 89.99"
"4422539173515836","R$ 89.99"
"7030748461442251","R$ 639.99"
"6250882523931165","R$ 169.99"
"8283461422357649","R$ 79.99"
"7760563228308661","R$ 139.99"
"9824874902665658","R$ 129.99"
"6294782076927438","R$ 109.99"
"7573602134351631","R$ 439.99"
"3361256957963291","R$ 169.99"
"1923065335982810","R$ 79.99"
"0987283448365995","R$ 149.99"
"3801443870209953","R$ 199.99"
"7817805408905474","R$ 259.99"
"1015930429047533","R$ 89.99"
